SYMBOL,SECTOR,LISTED IN,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,CHANGE (%),VOLUME
SSML,830,"ALLSHR,KMIALLSHR",23.9,22.26,25.0,21.51,21.68,-2.22,-0.0929,8254
AATM,830,ALLSHR,63.91,57.76,63.39,57.76,58.06,-5.85,-0.0915,7933
WAHN,805,"ALLSHR,KMIALLSHR",300.01,300.0,300.01,270.16,291.13,-8.88,-0.0296,7875
CCM,830,"ALLSHR,KMIALLSHR",42.02,43.0,43.0,39.1,40.33,-1.69,-0.0402,7728
FSWL,829,ALLSHR,206.2,195.0,198.99,185.58,185.68,-20.52,-0.0995,7616
PSYL,827,"ALLSHR,KMIALLSHR",149.15,150.0,157.0,143.0,155.68,6.53,0.0438,7416
AMBL,813,ALLSHR,23.46,23.46,23.46,21.64,22.95,-0.51,-0.0217,7367
GSPM,830,ALLSHR,6.34,6.7,6.7,6.02,6.33,-0.01,-0.0016,7114
LPGL,805,"ALLSHR,KMIALLSHR",94.61,94.61,95.48,91.15,92.31,-2.3,-0.0243,6834
NCML,830,"ALLSHR,KMIALLSHR",14.9,14.76,15.45,13.65,14.98,0.08,0.0054,6827
NAGC,830,ALLSHR,81.95,75.12,82.0,75.12,76.64,-5.31,-0.0648,6611
FTSM,819,"ALLSHR,KMIALLSHR",34.64,35.25,35.25,31.4,32.63,-2.01,-0.058,5842
COLG,810,"ALLSHR,KMIALLSHR,KSE100,KSE100PR,MII30",1253.4,1250.0,1250.0,1230.0,1239.17,-14.23,-0.0113,5741
ALIFE,812,ALLSHR,33.47,31.65,32.01,31.14,31.28,-2.19,-0.0654,5713
RUBY,830,"ALLSHR,KMIALLSHR",17.39,18.0,18.0,15.8,16.07,-1.32,-0.0759,5710
SURC,829,"ALLSHR,KMIALLSHR",140.2,138.11,138.11,134.5,134.52,-5.68,-0.0405,5637
PECO,808,ALLSHR,826.01,800.0,840.0,800.0,831.01,5.0,0.0061,5593
MCBIM,813,ALLSHR,158.0,158.0,160.9,155.07,157.84,-0.16,-0.001,5424
SMCPL,804,"ALLSHR,KMIALLSHR",42.69,42.0,42.13,41.1,41.86,-0.83,-0.0194,5385
FRCL,811,"ALLSHR,KMIALLSHR",102.96,102.96,112.9,94.01,110.75,7.79,0.0757,5297
BUXL,805,"ALLSHR,KMIALLSHR",202.45,202.39,202.39,187.0,189.03,-13.42,-0.0663,5029
