SYMBOL,SECTOR,LISTED IN,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,CHANGE (%),VOLUME
HALEON,823,"ALLSHR,KMIALLSHR,KSE100,KSE100PR",700.79,706.5,720.0,700.0,719.42,18.63,2.66%,42311
BOK,807,ALLSHR,34.47,34.98,34.99,34.5,34.52,0.05,0.15%,42288
FLYNG,804,"ALLSHR,KMIALLSHR",41.44,42.98,42.98,40.2,41.7,0.26,0.63%,41916
MTL,801,"ACI,ALLSHR,KMI30,KMIALLSHR,KSE100,KSE100PR,MII30,PSXDIV20",498.49,498.48,501.98,497.5,498.39,-0.1,-0.02%,41283
LCI,805,"ALLSHR,KMIALLSHR,KSE100,KSE100PR,MII30",223.26,224.0,224.74,221.1,222.86,-0.4,-0.18%,39708
TSPL,824,ALLSHR,9.46,9.01,9.69,9.01,9.45,-0.01,-0.11%,39468
ALTN,824,ALLSHR,8.53,8.54,8.69,8.54,8.65,0.12,1.41%,38098
FTMM,819,"ALLSHR,KMIALLSHR",12.5,12.25,13.19,12.0,12.12,-0.38,-3.04%,37875
STPL,818,ALLSHR,6.17,6.15,6.4,6.15,6.31,0.14,2.27%,31498
JSML,826,"ALLSHR,KMIALLSHR",56.28,54.3,61.24,54.3,59.92,3.64,6.47%,31042
ECOP,818,"ALLSHR,KMIALLSHR",38.28,38.75,39.99,38.5,39.78,1.5,3.92%,30866
FRSM,826,"ALLSHR,KMIALLSHR",45.29,46.9,46.9,46.9,45.29,0.0,0.00%,30501
PICT,833,ALLSHR,26.75,26.55,28.49,26.51,28.02,1.27,4.75%,29067
ESBL,813,ALLSHR,13.66,13.84,13.92,12.8,12.91,-0.75,-5.49%,26688
ABOT,823,"ALLSHR,KMIALLSHR,KSE100,KSE100PR,MII30",906.68,934.99,934.99,911.0,924.53,17.85,1.97%,26621
LPL,824,ALLSHR,17.57,17.95,18.49,17.89,18.24,0.67,3.81%,26368
TATM,830,"ALLSHR,KMIALLSHR",93.48,93.65,95.0,92.8,93.25,-0.23,-0.25%,26175
DEL,813,ALLSHR,15.02,15.2,15.5,14.89,15.45,0.43,2.86%,25887
UDPL,818,"ALLSHR,KMIALLSHR",112.28,114.0,115.0,110.0,114.87,2.59,2.31%,25819
ATIL,812,ALLSHR,72.63,72.11,74.25,72.1,74.15,1.52,2.09%,24959
DLL,813,ALLSHR,586.24,586.25,595.0,575.0,584.83,-1.41,-0.24%,24385
FPJM,819,"ALLSHR,KMIALLSHR",5.81,6.23,6.23,5.52,6.0,0.19,3.27%,24341
HIRAT,830,ALLSHR,3.24,3.15,3.3,3.15,3.21,-0.03,-0.93%,24081
UDLI,818,"ALLSHR,KMIALLSHR",16.02,16.45,17.25,16.3,17.03,1.01,6.31%,23975
NRSL,805,"ALLSHR,KMIALLSHR",22.53,22.5,23.2,22.5,23.08,0.55,2.44%,23591
MFL,810,"ALLSHR,KMIALLSHR",46.42,46.99,50.0,46.0,48.51,2.09,4.50%,23235
MWMP,818,"ALLSHR,KMIALLSHR",55.67,58.7,58.7,54.0,56.41,0.74,1.33%,22579
AHL,813,ALLSHR,79.31,82.99,82.99,81.02,81.93,2.62,3.30%,22562
SCBPL,807,"ALLSHR,KSE100,KSE100PR",64.5,63.5,64.6,63.5,64.56,0.06,0.09%,22417
KOHTM,830,"ALLSHR,KMIALLSHR",46.59,46.0,50.0,46.0,49.15,2.56,5.50%,21965
GSPM,830,ALLSHR,4.3,4.3,4.67,3.5,4.05,-0.25,-5.81%,21603
NATF,810,"ACI,ALLSHR,KMIALLSHR,KSE100,KSE100PR,MII30,PSXDIV20",343.38,343.0,354.43,343.0,353.36,9.98,2.91%,21148
BELA,802,ALLSHR,64.52,70.97,70.97,65.11,70.97,6.45,10.00%,20964
PTL,802,"ALLSHR,KMIALLSHR",48.7,48.7,52.32,48.7,50.03,1.33,2.73%,20354
BRRG,838,"ALLSHR,KMIALLSHR",38.01,38.7,39.1,38.01,38.2,0.19,0.50%,18105
MERIT,822,"ALLSHR,KMIALLSHR",7.65,7.8,7.8,7.61,7.74,0.09,1.18%,17823
SRR,836,"ALLSHR,KMIALLSHR",16.11,16.11,16.39,16.08,16.2,0.09,0.56%,17623
INDU,801,"ALLSHR,KSE100,KSE100PR",1738.17,1740.99,1800.0,1740.99,1772.41,34.24,1.97%,16963
RUBY,830,ALLSHR,11.41,12.55,12.55,12.02,12.31,0.9,7.89%,16565
CCM,830,"ALLSHR,KMIALLSHR",38.0,41.0,41.0,37.51,41.0,3.0,7.90%,16005
ACIETF,837,,15.81,15.06,15.42,15.05,15.42,-0.39,-2.47%,16000
UBLPETF,837,,35.34,35.58,36.12,35.4,36.04,0.7,1.98%,16000
TRIPF,818,ALLSHR,120.08,128.0,129.4,120.0,127.5,7.42,6.18%,15980
SEL,824,"ALLSHR,KMIALLSHR",24.74,26.0,26.0,22.81,24.91,0.17,0.69%,15894
THALL,802,"ALLSHR,KSE100,KSE100PR",564.91,590.0,615.0,570.0,601.11,36.2,6.41%,15709
FEROZ,823,"ALLSHR,KMIALLSHR",306.13,306.13,315.79,306.13,314.15,8.02,2.62%,15520
AGTL,801,"ALLSHR,KMIALLSHR",321.74,328.95,328.95,320.0,321.04,-0.7,-0.22%,15195
STYLERS,829,"ALLSHR,KMIALLSHR",40.0,40.57,44.0,40.57,43.67,3.67,9.18%,14807
ICL,805,"ALLSHR,KMIALLSHR",114.99,116.0,119.0,116.0,118.16,3.17,2.76%,14689
DBCI,804,ALLSHR,5.2,5.35,5.41,5.11,5.16,-0.04,-0.77%,14429
ATBA,802,"ALLSHR,KMIALLSHR",182.16,184.99,189.0,170.1,186.4,4.24,2.33%,14085
CJPL,814,ALLSHR,13.36,13.5,14.5,13.26,13.51,0.15,1.12%,13263
MQTM,830,"ALLSHR,KMIALLSHR",21.89,23.95,24.08,22.51,24.05,2.16,9.87%,13232
APL,821,"ALLSHR,KMIALLSHR,KSE100,KSE100PR",516.77,521.99,531.0,520.0,526.28,9.51,1.84%,13168
SLYT,830,ALLSHR,12.32,12.46,12.5,12.4,12.5,0.18,1.46%,13159
IDYM,830,ALLSHR,94.95,95.0,97.0,94.8,96.28,1.33,1.40%,12699
NBPGETF,837,,27.37,29.95,29.95,27.9,28.4,1.03,3.76%,12500
JSIL,813,ALLSHR,36.07,36.5,39.0,33.55,36.35,0.28,0.78%,12175
ZAHID,829,"ALLSHR,KMIALLSHR",38.23,37.99,38.51,37.99,38.0,-0.23,-0.60%,12161
HICL,812,ALLSHR,10.86,11.03,11.41,10.9,10.96,0.1,0.92%,12123
FHAM,819,"ALLSHR,KMIALLSHR,KSE100,KSE100PR",29.06,29.1,29.8,29.06,29.13,0.07,0.24%,12051
HABSM,826,"ALLSHR,KMIALLSHR",65.61,66.0,66.22,64.52,66.0,0.39,0.59%,11511
OLPL,813,ALLSHR,47.45,45.06,47.96,45.06,47.02,-0.43,-0.91%,11223
PAKD,828,"ALLSHR,KMIALLSHR",115.89,117.47,117.47,110.1,115.12,-0.77,-0.66%,11153
MRNS,826,ALLSHR,58.1,57.98,58.0,57.79,57.79,-0.31,-0.53%,10654
HUSI,838,ALLSHR,28.06,28.0,29.5,25.98,26.45,-1.61,-5.74%,10592
BFMOD,819,"ALLSHR,KMIALLSHR",19.02,19.88,19.88,18.0,18.3,-0.72,-3.78%,10528
HGFA,806,"ALLSHR,KSE100,KSE100PR",14.38,14.5,15.38,14.5,14.61,0.23,1.60%,10447
PMRS,826,ALLSHR,300.91,331.0,331.0,331.0,331.0,30.09,10.00%,10153
BWHL,802,"ALLSHR,KMIALLSHR",172.99,174.0,177.05,173.94,174.27,1.28,0.74%,9786
CENI,812,ALLSHR,57.55,59.5,59.99,58.95,59.89,2.34,4.07%,9621
SITC,805,"ALLSHR,KMIALLSHR",799.63,809.99,809.99,731.1,785.91,-13.72,-1.72%,9414
IGIHL,812,ALLSHR,191.68,194.0,197.0,188.02,197.0,5.32,2.78%,9243
WAFI,821,"ALLSHR,KMIALLSHR",179.96,180.05,184.99,180.05,183.51,3.55,1.97%,9232
LEUL,816,"ALLSHR,KMIALLSHR",27.98,27.89,28.64,27.6,28.2,0.22,0.79%,9188
EMCO,803,"ALLSHR,KMIALLSHR",38.0,38.0,41.0,38.0,40.0,2.0,5.26%,9164
BWCL,804,"ALLSHR,KSE100,KSE100PR",435.36,435.24,438.74,435.24,436.05,0.69,0.16%,8946
TPLT,828,"ALLSHR,KMIALLSHR",9.05,9.19,9.2,9.07,9.07,0.02,0.22%,8801
