SYMBOL,SECTOR,LISTED IN,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,CHANGE (%),VOLUME
KOIL,829,ALLSHR,61.56,62.49,64.5,61.5,63.62,2.06,3.35%,116337
HTL,821,"ALLSHR,KMIALLSHR",36.38,36.33,36.33,35.0,35.04,-1.34,-3.68%,114667
TGL,811,"ALLSHR,KMIALLSHR,KSE100,KSE100PR",139.73,140.0,140.0,137.0,137.24,-2.49,-1.78%,112571
FPJM,819,"ALLSHR,KMIALLSHR",6.02,6.17,6.2,5.81,5.98,-0.04,-0.66%,108822
NATF,810,"ACI,ALLSHR,KMIALLSHR,KSE100,KSE100PR,MII30,PSXDIV20",355.53,357.11,362.0,344.0,344.9,-10.63,-2.99%,108640
FECTC,804,"ALLSHR,KMIALLSHR",90.2,87.01,91.8,85.9,86.31,-3.89,-4.31%,107668
UCAPM,819,"ALLSHR,KMIALLSHR",4.8,4.81,4.82,4.3,4.36,-0.44,-9.17%,102809
TPLRF1,836,"ALLSHR,KMIALLSHR,KSE100,KSE100PR",8.78,8.77,8.77,8.14,8.2,-0.58,-6.61%,97796
PTL,802,"ALLSHR,KMIALLSHR",53.9,54.0,54.9,51.0,51.22,-2.68,-4.97%,94550
SRR,836,"ALLSHR,KMIALLSHR",16.46,16.21,16.44,16.21,16.22,-0.24,-1.46%,94003
NCL,829,ALLSHR,34.75,34.5,34.99,32.12,33.7,-1.05,-3.02%,93903
HCAR,801,"ALLSHR,KMIALLSHR,KSE100,KSE100PR",167.93,167.0,168.98,163.52,164.19,-3.74,-2.23%,89118
BIFO,805,"ALLSHR,KMIALLSHR",97.97,98.5,98.5,94.0,94.85,-3.12,-3.19%,88685
MERIT,822,"ALLSHR,KMIALLSHR",8.13,8.2,8.2,8.0,8.06,-0.07,-0.86%,87831
IPAKXB,822,"ALLSHR,KMIALLSHR",25.99,25.5,25.5,25.0,25.07,-0.92,-3.54%,86708
GLPL,810,"ALLSHR,KMIALLSHR",700.0,700.0,700.89,700.0,700.0,0.0,0.00%,85980
HALEON,823,"ALLSHR,KMIALLSHR,KSE100,KSE100PR",740.1,749.0,749.0,709.0,714.0,-26.1,-3.53%,85448
SGPL,824,"ALLSHR,KMIALLSHR",14.65,14.8,14.8,14.11,14.33,-0.32,-2.18%,83640
GHGL,811,"ALLSHR,KMIALLSHR,KSE100,KSE100PR",31.98,31.35,32.0,30.8,31.07,-0.91,-2.85%,83208
CPPL,822,"ALLSHR,KMIALLSHR",73.31,73.31,73.31,67.15,71.21,-2.1,-2.86%,82160
DEL,813,ALLSHR,16.56,18.22,18.22,18.22,18.22,1.66,10.02%,81768
GTYR,802,"ALLSHR,KMIALLSHR",25.37,25.72,25.72,24.45,24.51,-0.86,-3.39%,81692
AGL,809,ALLSHR,51.23,51.18,51.75,50.15,51.16,-0.07,-0.14%,81658
KSBP,808,"ALLSHR,KMIALLSHR",209.51,209.0,210.99,201.0,201.59,-7.92,-3.78%,79986
MSOT,829,ALLSHR,60.49,60.01,63.96,55.2,62.95,2.46,4.07%,79743
JSBL,807,ALLSHR,11.99,12.0,12.0,11.1,11.81,-0.18,-1.50%,78137
UBLPETF,837,,37.46,37.0,37.34,36.0,36.17,-1.29,-3.44%,75000
GSPM,830,ALLSHR,4.35,4.11,4.3,3.55,3.99,-0.36,-8.28%,73625
JUBS,829,ALLSHR,29.03,28.35,31.93,28.35,31.93,2.9,9.99%,69980
JATM,830,ALLSHR,23.56,25.92,25.92,21.2,22.0,-1.56,-6.62%,69219
DBCI,804,ALLSHR,5.41,5.41,5.6,5.32,5.54,0.13,2.40%,65542
ESBL,813,ALLSHR,12.81,13.35,13.39,11.8,12.3,-0.51,-3.98%,65164
FCEL,813,ALLSHR,4.9,5.1,5.1,4.52,4.8,-0.1,-2.04%,63571
GRR,836,ALLSHR,19.79,19.61,19.83,19.61,19.67,-0.12,-0.61%,63278
PAKQATAR,812,"ALLSHR,KMIALLSHR",18.12,18.12,18.2,17.79,18.01,-0.11,-0.61%,63212
ASC,810,ALLSHR,9.84,9.84,9.84,9.51,9.54,-0.3,-3.05%,61004
IBLHL,823,"ALLSHR,KMIALLSHR",44.24,44.8,44.8,42.51,42.55,-1.69,-3.82%,60346
